Test 1,,,,,,,,,,
Angle of attack ,5,,,,,,,,,
Ambient density,1.19,,,,,,,,,
Calculated windspeed,30.56,,,,,,,,,
Average freestream static pressure (P∞):,-0.57,,,,,,,,,
cell1,561,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
𝒙 𝑪𝑷 𝜹𝒙,7.130817699,34.23200708,49.32904779,89.1074708,133.209469,288.6259115,150.9750478,93.22437345,101.716885,257.5209345
c/x,0.010133333,0.0508,0.1016,0.1524,0.274333333,0.396266667,0.5182,0.640133333,0.762,0.8636
Location of the centre of pressure from the leading edge,39.72442118,,,,,,,,,
centre of pressure (x/c),0.264829475,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Test 3,,,,,,,,,,
Angle of attack ,15,,,,,,,,,
Ambient density,1.19,,,,,,,,,
Calculated windspeed,30.29,,,,,,,,,
Average freestream static pressure (P∞):,-0.57,,,,,,,,,
cell1,545,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
upper surface ,,,,,,,,,,
Tap No.,1,3,5,7,9,11,13,15,17,19
x (mm),0.76,3.81,11.43,19.05,38,62,80.77,101.35,121.92,137.16
δx,2.29,5.34,7.62,13.29,21.48,21.39,19.68,20.58,17.91,20.46
P,-1.61,-1.51,-1.32,-1.3,-1.23,-1.18,-1.1,-1.03,-0.96,-0.89
CP,-1.908256881,-1.724770642,-1.376146789,-1.339449541,-1.211009174,-1.119266055,-0.972477064,-0.844036697,-0.71559633,-0.587155963
𝑪𝑷 𝜹𝒙,4.369908257,9.210275229,10.48623853,17.8012844,26.01247706,23.94110092,19.13834862,17.37027523,12.81633028,12.01321101
𝒙 𝑪𝑷 𝜹𝒙,3.321130275,35.09114862,119.8577064,339.1144679,988.4741284,1484.348257,1545.804418,1760.477394,1562.566987,1647.732022
c/x,0.005066667,0.0254,0.0762,0.127,0.253333333,0.413333333,0.538466667,0.675666667,0.8128,0.9144
,,,,,,,,,,
lower surface ,,,,,,,,,,
Tap No.,2,4,6,8,10,12,14,16,18,20
x (mm),1.52,7.62,15.24,22.86,41.15,59.44,77.73,96.02,114.3,129.54
δx,4.57,6.86,7.62,12.955,18.29,18.29,18.29,18.285,16.76,28.08
P,0.02,-0.12,-0.27,-0.36,-0.45,-0.45,-0.55,-0.6,-0.65,-0.67
CP,1.082568807,0.825688073,0.550458716,0.385321101,0.220183486,0.220183486,0.036697248,-0.055045872,-0.146788991,-0.183486239
𝑪𝑷 𝜹𝒙,4.94733945,5.664220183,4.194495413,4.991834862,4.027155963,4.027155963,0.671192661,-1.006513761,-2.460183486,-5.152293578
𝒙 𝑪𝑷 𝜹𝒙,7.519955963,43.1613578,63.92411009,114.113345,165.7174679,239.3741505,52.1718055,-96.64545138,-281.1989725,-667.4281101
c/x,0.010133333,0.0508,0.1016,0.1524,0.274333333,0.396266667,0.5182,0.640133333,0.762,0.8636
Location of the centre of pressure from the leading edge,52.74063388,,,,,,,,,
centre of pressure (x/c),0.351604226,,,,,,,,,
